rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,date,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,selfMade_indicator
1575,1900,Fashion & Retail,Robert Miller,89.0,Hong Kong,Hong Kong,Retail,Fashion & Retail,United Kingdom,True,D,M,Miller,Robert,,4/4/2023 5:01,127.59498797113072,4.4119486768243785,11731681344673.742,67.54499198717949,102.84241089307169,78.12856570512821,12.501362725450901,43.85124198717949,507454840.43118536,34.93664350171043,10.946222709069213,Self Made Billionaires
1575,1900,Technology,Simon Nixon,55.0,United Kingdom,"St. Brelade, Jersey",Price comparison website,Technology,United Kingdom,True,U,M,Nixon,Simon,,4/4/2023 5:01,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,Self Made Billionaires
1575,1900,Food & Beverage,Kentaro Ogawa,74.0,Japan,Tokyo,Restaurants,Food & Beverage,Japan,True,U,M,Ogawa,Kentaro,,4/4/2023 5:01,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,Self Made Billionaires
1575,1900,Manufacturing,Ajay Parekh,65.0,India,Mumbai,Adhesives,Manufacturing,India,False,D,M,Parekh,Ajay,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
1575,1900,Manufacturing,Narendrakumar Parekh,84.0,India,Mumbai,Adhesives,Manufacturing,India,False,D,M,Parekh,Narendrakumar,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
1575,1900,Finance & Investments,Jennifer Pritzker,72.0,United States,Chicago,"Hotels, investments",Finance & Investments,United States,False,D,F,Pritzker,Jennifer,CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
1575,1900,Fashion & Retail,G. Rajendran,80.0,India,Chennai,Jewellery,Fashion & Retail,India,True,U,M,Rajendran,G.,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Self Made Billionaires
1575,1900,Manufacturing,Ren Jianhua,66.0,China,Hangzhou,Kitchen appliances,Manufacturing,China,True,D,M,Ren,Jianhua,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Finance & Investments,Larry Robbins,53.0,United States,Alpine,Hedge funds,Finance & Investments,United States,True,E,M,Robbins,Larry,Investor,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1575,1900,Construction & Engineering,Dwight Schar,81.0,United States,Palm Beach,"Homebuilding, NFL team",Construction & Engineering,United States,True,E,M,Schar,Dwight,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1575,1900,Energy,Shao Jianxiong,,China,Hangzhou,Photovoltaics,Energy,China,True,U,M,Shao,Jianxiong,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Manufacturing,Qinxiang Shao,68.0,China,Hangzhou,Diversified,Manufacturing,China,True,U,M,Shao,Qinxiang,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Technology,Hua Shen,60.0,China,Jiaxing,Semiconductors,Technology,United States,True,D,M,Shen,Hua,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Manufacturing,Shi Wen-long,95.0,Taiwan,Tainan,Plastics,Manufacturing,Taiwan,True,D,M,Shi,Wen-long,,4/4/2023 5:01,127.59498797113072,4.4119486768243785,11731681344673.742,67.54499198717949,102.84241089307169,78.12856570512821,12.501362725450901,43.85124198717949,507454840.43118536,34.93664350171043,10.946222709069213,Self Made Billionaires
1575,1900,Finance & Investments,Peter Sondakh,73.0,Indonesia,Surabaya,Investments,Finance & Investments,Indonesia,True,D,M,Sondakh,Peter,,4/4/2023 5:01,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,Self Made Billionaires
1575,1900,Food & Beverage,Lucy Stitzer,63.0,United States,Greenwich,Cargill,Food & Beverage,United States,False,D,F,Stitzer,Lucy,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
1575,1900,Diversified,Elizabeth Sy,70.0,Philippines,Manila,Diversified,Diversified,Philippines,False,D,F,Sy,Elizabeth,,4/4/2023 5:01,129.61,2.5,376795508680.0,35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017,Inherited Wealth
1575,1900,Manufacturing,Hermanto Tanoko,60.0,Indonesia,Surabaya,Paints,Manufacturing,Indonesia,False,Split Family Fortune,M,Tanoko,Hermanto,,4/4/2023 5:01,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,Inherited Wealth
1575,1900,Construction & Engineering,Mehmet Sinan Tara,64.0,Turkey,Istanbul,Construction,Construction & Engineering,Turkey,False,U,M,Tara,Mehmet Sinan,,4/4/2023 5:01,234.44,15.2,754411708203.0,23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322,Inherited Wealth
1575,1900,Fashion & Retail,Masateru Uno & family,76.0,Japan,Fukuoka,Drugstores,Fashion & Retail,Japan,True,D,M,Uno,Masateru,,4/4/2023 5:01,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,Self Made Billionaires
