rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,date,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,selfMade_indicator
679,4100,Sports,Arturo Moreno,76.0,United States,Phoenix,"Billboards, Los Angeles Angels",Sports,United States,True,U,M,Moreno,Arturo,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
679,4100,Manufacturing,Peter Spuhler,63.0,Switzerland,Weiningen,Train cars,Manufacturing,Switzerland,True,D,M,Spuhler,Peter,,4/4/2023 5:01,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,Self Made Billionaires
679,4100,Real Estate,Donald Sterling,88.0,United States,Beverly Hills,Real estate,Real Estate,United States,True,U,M,Sterling,Donald,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
679,4100,Diversified,Kerry Stokes,82.0,Australia,Perth,"Construction equipment, media",Diversified,Australia,True,D,M,Stokes,Kerry,,4/4/2023 5:01,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,Self Made Billionaires
679,4100,Technology,Ken Xie,60.0,United States,Los Altos Hills,Cybersecurity,Technology,United States,True,D,M,Xie,Ken,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
679,4100,Healthcare,Liangzhi Xie & family,57.0,China,Beijing,Biotech,Healthcare,China,True,D,M,Xie,Liangzhi,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
699,4000,Energy,Sid Bass,80.0,United States,Fort Worth,"Oil, investments",Energy,United States,False,U,M,Bass,Sid,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
699,4000,Technology,Ben Chestnut,48.0,United States,Atlanta,Email marketing,Technology,United States,True,D,M,Chestnut,Ben,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
699,4000,Food & Beverage,Elisabeth DeLuca & family,75.0,United States,New York,Subway,Food & Beverage,United States,False,N,F,DeLuca,Elisabeth,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
699,4000,Diversified,Guangchang Guo,56.0,China,Shanghai,Conglomerate,Diversified,China,True,D,M,Guo,Guangchang,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
699,4000,Manufacturing,Vinod Rai Gupta,77.0,India,Delhi,Electrical equipment,Manufacturing,India,False,U,F,Gupta,Vinod Rai,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
699,4000,Sports,John Henry,73.0,United States,Boca Raton,Sports,Sports,United States,True,U,M,Henry,John,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
699,4000,Technology,Travis Kalanick,46.0,United States,Los Angeles,Uber,Technology,United States,True,U,M,Kalanick,Travis,Cofounder,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
699,4000,Manufacturing,Koon Poh Keong,61.0,Malaysia,Petaling Jaya,Aluminum,Manufacturing,Malaysia,True,D,M,Koon,Poh Keong,,4/4/2023 5:01,121.46,0.7,364701517788.0,45.1,105.3,76.0,12.0,38.7,32447385.0,4.210484,101.975766,Self Made Billionaires
699,4000,Technology,Dan Kurzius,51.0,United States,Atlanta,Email marketing,Technology,United States,True,D,M,Kurzius,Dan,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
699,4000,Manufacturing,Paul Lee,65.0,China,Yuxi,Battery separators,Manufacturing,United States,True,D,M,Lee,Paul,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
699,4000,Technology,Tobi Lutke,42.0,Canada,Ottawa,E-commerce,Technology,Canada,True,D,M,Lutke,Tobi,,4/4/2023 5:01,116.76,1.9,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,Self Made Billionaires
699,4000,Automotive,Gail Miller,79.0,United States,Salt Lake City,Car dealerships,Automotive,United States,True,U,F,Miller,Gail,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
699,4000,Telecom,Rajan Mittal,63.0,India,Delhi,Telecom,Telecom,India,False,Split Family Fortune,M,Mittal,Rajan,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
699,4000,Telecom,Rakesh Mittal,67.0,India,Delhi,Telecom,Telecom,India,False,Split Family Fortune,M,Mittal,Rakesh,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
699,4000,Media & Entertainment,Isaac Perlmutter,80.0,United States,Palm Beach,Marvel comics,Media & Entertainment,United States,True,D,M,Perlmutter,Isaac,Chairman,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
699,4000,Finance & Investments,"Bernard Saul, II.",90.0,United States,Chevy Chase,"Banking, real estate",Finance & Investments,United States,False,U,M,Saul,Bernard,Chairman and CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
699,4000,Telecom,Shaul Shani,68.0,Italy,Milan,Telecom,Telecom,Israel,True,D,M,Shani,Shaul,,4/4/2023 5:01,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,Self Made Billionaires
699,4000,Media & Entertainment,Steven Spielberg,76.0,United States,Pacific Palisades,Movies,Media & Entertainment,United States,True,U,M,Spielberg,Steven,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
699,4000,Healthcare,Jerzy Starak,75.0,Poland,Konstancin,Pharmaceuticals,Healthcare,Poland,True,E,M,Starak,Jerzy,,4/4/2023 5:01,114.11,2.2,592164400688.0,67.8,100.0,77.6,17.4,40.8,37970874.0,51.919438,19.145136,Self Made Billionaires
699,4000,Energy,Torbjorn Tornqvist,69.0,Switzerland,Geneva,Oil trading,Energy,Sweden,True,U,M,Tornqvist,Torbjorn,,4/4/2023 5:01,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,Self Made Billionaires
699,4000,Metals & Mining,Rufino Vigil Gonzalez,74.0,Mexico,Mexico City,Steel,Metals & Mining,Mexico,True,U,M,Vigil Gonzalez,Rufino,,4/4/2023 5:01,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,Self Made Billionaires
699,4000,Diversified,Zhang Daocai,73.0,China,Shaoxing,Valves,Diversified,China,True,U,M,Zhang,Daocai,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
721,3900,Manufacturing,Juergen Blickle,76.0,Germany,Bruchsal,Auto parts,Manufacturing,Germany,False,D,M,Blickle,Juergen,,4/4/2023 5:01,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Inherited Wealth
721,3900,Food & Beverage,"Austen Cargill, II.",72.0,United States,Livingston,Cargill,Food & Beverage,United States,False,D,M,Cargill,Austen,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
721,3900,Food & Beverage,"James Cargill, II.",73.0,United States,Birchwood,Cargill,Food & Beverage,United States,False,D,M,Cargill,James,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
721,3900,Finance & Investments,Vanich Chaiyawan,91.0,Thailand,Bangkok,"Insurance, beverages",Finance & Investments,Thailand,True,U,M,Chaiyawan,Vanich,,4/4/2023 5:01,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541,Self Made Billionaires
721,3900,Finance & Investments,Chen Dongsheng,65.0,China,Beijing,Insurance,Finance & Investments,China,True,U,M,Chen,Dongsheng,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
721,3900,Automotive,Mong-Koo Chung,85.0,South Korea,Seoul,Hyundai,Automotive,South Korea,False,D,M,Chung,Mong-Koo,,4/4/2023 5:01,115.16,0.4,2029000000000.0,94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922,Inherited Wealth
721,3900,Finance & Investments,Kenneth Dart,67.0,Cayman Islands,George Town,Investments,Finance & Investments,Belize,False,U,M,Dart,Kenneth,,4/4/2023 5:01,127.59498797113072,4.4119486768243785,11731681344673.742,67.54499198717949,102.84241089307169,78.12856570512821,12.501362725450901,43.85124198717949,507454840.43118536,34.93664350171043,10.946222709069213,Inherited Wealth
721,3900,Fashion & Retail,Giuseppe De'Longhi & family,83.0,Italy,Treviso,Coffee makers,Fashion & Retail,Italy,False,D,M,De'Longhi,Giuseppe,,4/4/2023 5:01,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,Inherited Wealth
721,3900,Healthcare,Guenther Fielmann & family,83.0,Germany,Hamburg,Optometry,Healthcare,Germany,True,D,M,Fielmann,Guenther,,4/4/2023 5:01,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Self Made Billionaires
721,3900,Energy,W. Herbert Hunt,94.0,United States,Dallas,Oil,Energy,United States,False,D,M,Hunt,W. Herbert,Investor,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
721,3900,Sports,James Irsay,63.0,United States,Carmel,Indianapolis Colts,Sports,United States,False,U,M,Irsay,James,CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
721,3900,Diversified,Somurai Jaruphnit,,Thailand,Bangkok,Diversified,Diversified,Thailand,False,N,F,Jaruphnit,Somurai,,4/4/2023 5:01,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541,Inherited Wealth
721,3900,Food & Beverage,Marianne Liebmann,69.0,United States,Bozeman,Cargill,Food & Beverage,United States,False,D,F,Liebmann,Marianne,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
721,3900,Healthcare,Jorge Moll Filho & family,78.0,Brazil,Rio de Janeiro,Hospitals,Healthcare,Brazil,True,D,M,Moll Filho,Jorge,,4/4/2023 5:01,167.4,3.7,1839758040766.0,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528,Self Made Billionaires
721,3900,Diversified,Fernando Roberto Moreira Salles,76.0,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,False,U,M,Moreira Salles,Fernando Roberto,,4/4/2023 5:01,167.4,3.7,1839758040766.0,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528,Inherited Wealth
721,3900,Diversified,Pedro Moreira Salles,63.0,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,False,U,M,Moreira Salles,Pedro,,4/4/2023 5:01,167.4,3.7,1839758040766.0,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528,Inherited Wealth
721,3900,Gambling & Casinos,Gabe Newell,60.0,United States,Seattle,Videogames,Gambling & Casinos,United States,True,E,M,Newell,Gabe,Cofounder and CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
721,3900,Fashion & Retail,Alfred Oetker,56.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,False,U,M,Oetker,Alfred,,4/4/2023 5:01,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Inherited Wealth
721,3900,Fashion & Retail,Carl Ferdinand Oetker,50.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,False,U,M,Oetker,Carl Ferdinand,,4/4/2023 5:01,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Inherited Wealth
721,3900,Fashion & Retail,Julia Oetker,44.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,False,U,F,Oetker,Julia,,4/4/2023 5:01,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,Inherited Wealth
721,3900,Manufacturing,Ruan Hongliang & family,62.0,China,Jiaxing,Glass,Manufacturing,China,True,D,M,Ruan,Hongliang,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
721,3900,Finance & Investments,Mark Stevens,63.0,United States,Steamboat Springs,Venture capital,Finance & Investments,United States,True,D,M,Stevens,Mark,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
721,3900,Finance & Investments,Tsai Hong-tu,70.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,D,M,Tsai,Hong-tu,,4/4/2023 5:01,127.59498797113072,4.4119486768243785,11731681344673.742,67.54499198717949,102.84241089307169,78.12856570512821,12.501362725450901,43.85124198717949,507454840.43118536,34.93664350171043,10.946222709069213,Inherited Wealth
721,3900,Food & Beverage,Nusli Wadia,79.0,India,Mumbai,Consumer goods,Food & Beverage,India,False,U,M,Wadia,Nusli,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
721,3900,Healthcare,Wu Yiling,73.0,China,Shijiazhuang,Pharmaceuticals,Healthcare,China,True,E,M,Wu,Yiling,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
721,3900,Manufacturing,Yu Renrong,57.0,China,Ningbo,Semiconductors,Manufacturing,China,True,D,M,Yu,Renrong,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
721,3900,Healthcare,Zhu Baoguo & family,60.0,China,Shenzhen,Pharmaceuticals,Healthcare,China,True,D,M,Zhu,Baoguo,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
748,3800,Service,Rahul Bhatia,63.0,India,Delhi,Aviation,Service,India,False,Split Family Fortune,M,Bhatia,Rahul,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
748,3800,Construction & Engineering,Francesco Gaetano Caltagirone,80.0,Italy,Rome,"Cement, diversified",Construction & Engineering,Italy,True,D,M,Caltagirone,Francesco Gaetano,,4/4/2023 5:01,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,Self Made Billionaires
748,3800,Media & Entertainment,Barry Diller,81.0,United States,New York,Online media,Media & Entertainment,United States,True,D,M,Diller,Barry,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
748,3800,Finance & Investments,Wesley Edens,61.0,United States,New York,Investments,Finance & Investments,United States,True,U,M,Edens,Wesley,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
748,3800,Finance & Investments,Stephen Feinberg,63.0,United States,New York,Private equity,Finance & Investments,United States,True,U,M,Feinberg,Stephen,Co-founder and CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
748,3800,Service,Rakesh Gangwal,69.0,United States,Miami,Airline,Service,United States,True,D,M,Gangwal,Rakesh,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
748,3800,Food & Beverage,Joseph Grendys,61.0,United States,Chicago,Poultry processing,Food & Beverage,United States,True,U,M,Grendys,Joseph,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
748,3800,Media & Entertainment,Martha Ingram & family,87.0,United States,Nashville,"Book distribution, transportation",Media & Entertainment,United States,False,D,F,Ingram,Martha,Former Chairman,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
748,3800,Automotive,Li Xiang,41.0,China,Beijing,Electric vehicles,Automotive,China,True,D,M,Li,Xiang,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
748,3800,Real Estate,"H. Ross Perot, Jr.",64.0,United States,Dallas,Real estate,Real Estate,United States,False,U,M,Perot,H. Ross,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
748,3800,Real Estate,Chandru Raheja,82.0,India,Mumbai,Real estate,Real Estate,India,False,U,M,Raheja,Chandru,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
748,3800,Energy,Trevor Rees-Jones,71.0,United States,Dallas,Oil & gas,Energy,United States,True,D,M,Rees-Jones,Trevor,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
748,3800,Telecom,Yasumitsu Shigeta,58.0,Japan,Tokyo,Mobile phone retailer,Telecom,Japan,True,U,M,Shigeta,Yasumitsu,,4/4/2023 5:01,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,Self Made Billionaires
748,3800,Healthcare,Su Qingcan,54.0,China,Xiamen,Healthcare,Healthcare,China,True,N,M,Su,Qingcan,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
748,3800,Finance & Investments,Tsai Cheng-ta,73.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,D,M,Tsai,Cheng-ta,,4/4/2023 5:01,127.59498797113072,4.4119486768243785,11731681344673.742,67.54499198717949,102.84241089307169,78.12856570512821,12.501362725450901,43.85124198717949,507454840.43118536,34.93664350171043,10.946222709069213,Inherited Wealth
748,3800,Service,Steven Udvar-Hazy,77.0,United States,Westlake,Aircraft leasing,Service,United States,True,D,M,Udvar-Hazy,Steven,CEO and Chairman,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
748,3800,Manufacturing,Elizabeth Uihlein,77.0,United States,Lake Forest,Packaging materials,Manufacturing,United States,True,N,F,Uihlein,Elizabeth,Entrepreneur,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
748,3800,Manufacturing,Richard Uihlein,77.0,United States,Lake Forest,Packaging materials,Manufacturing,United States,True,N,M,Uihlein,Richard,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
766,3700,Finance & Investments,Hayes Barnard,51.0,United States,Austin,Fintech,Finance & Investments,United States,True,N,M,Barnard,Hayes,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
766,3700,Finance & Investments,William Berkley,76.0,United States,Coconut Grove,Insurance,Finance & Investments,United States,True,E,M,Berkley,William,Chairman and CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
766,3700,Real Estate,Charles Cohen,71.0,United States,New York,Real estate,Real Estate,United States,False,U,M,Cohen,Charles,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
766,3700,Real Estate,Yakir Gabay,56.0,United Kingdom,London,Real estate,Real Estate,Cyprus,True,D,M,Gabay,Yakir,,4/4/2023 5:01,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,Self Made Billionaires
766,3700,Technology,Huang Li,59.0,China,Wuhan,Imaging systems,Technology,China,True,D,M,Huang,Li,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
766,3700,Logistics,Brad Jacobs,66.0,United States,Greenwich,Logistics,Logistics,United States,True,E,M,Jacobs,Brad,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
766,3700,Real Estate,Ji Qi,56.0,China,Shanghai,"Hotels, motels",Real Estate,China,True,U,M,Ji,Qi,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
766,3700,Media & Entertainment,Jason Jiang,50.0,China,Shanghai,Advertising,Media & Entertainment,Singapore,True,D,M,Jiang,Jason,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
766,3700,Technology,Jim Kavanaugh,60.0,United States,St. Louis,IT provider,Technology,United States,True,U,M,Kavanaugh,Jim,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
766,3700,Real Estate,Richard LeFrak & family,77.0,United States,New York,Real estate,Real Estate,United States,False,E,M,LeFrak,Richard,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
766,3700,Finance & Investments,Mikhail Lomtadze,47.0,Kazakhstan,Almaty,Fintech,Finance & Investments,Georgia,True,U,M,Lomtadze,Mikhail,,4/4/2023 5:01,182.75,5.2,180161741180.0,61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684,Self Made Billionaires
766,3700,Fashion & Retail,Tom Morris,68.0,United Kingdom,Merseyside,Retail,Fashion & Retail,United Kingdom,True,U,M,Morris,Tom,,4/4/2023 5:01,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,Self Made Billionaires
766,3700,Manufacturing,Shigenobu Nagamori,78.0,Japan,Kyoto,Motors,Manufacturing,Japan,True,D,M,Nagamori,Shigenobu,,4/4/2023 5:01,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,Self Made Billionaires
766,3700,Finance & Investments,Daniel Och,62.0,United States,Miami Beach,Hedge funds,Finance & Investments,United States,True,D,M,Och,Daniel,Founder,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
766,3700,Fashion & Retail,Horst Paulmann & family,88.0,Chile,Santiago,Retail,Fashion & Retail,Chile,True,U,M,Paulmann,Horst,,4/4/2023 5:01,131.91,2.6,282318159745.0,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969,Self Made Billionaires
766,3700,Service,Anthony Pritzker,62.0,United States,Los Angeles,"Hotels, investments",Service,United States,False,E,M,Pritzker,Anthony,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
766,3700,Technology,John Sall,75.0,United States,Cary,Software,Technology,United States,True,U,M,Sall,John,"Co-Founder, Executive Vice President",4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
766,3700,Food & Beverage,Howard Schultz,69.0,United States,Seattle,Starbucks,Food & Beverage,United States,True,D,M,Schultz,Howard,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
766,3700,Fashion & Retail,Richard Schulze,82.0,United States,Naples,Best Buy,Fashion & Retail,United States,True,D,M,Schulze,Richard,Chairman,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
766,3700,Real Estate,Yitzhak Tshuva,74.0,Israel,Netanya,Real estate,Real Estate,Israel,True,D,M,Tshuva,Yitzhak,,4/4/2023 5:01,108.15,0.8,395098666122.0,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612,Self Made Billionaires
766,3700,Manufacturing,Wang Yanqing & family,56.0,China,Wuxi,Electrical equipment,Manufacturing,China,True,D,M,Wang,Yanqing,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
787,3600,Diversified,Rajiv Bajaj,56.0,India,Pune,Diversified,Diversified,India,False,Split Family Fortune,M,Bajaj,Rajiv,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
787,3600,Diversified,Sanjiv Bajaj,53.0,India,Pune,Diversified,Diversified,India,False,Split Family Fortune,M,Bajaj,Sanjiv,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
